CATEG,NAME_TYPE,BREAK_START,BREAK_END
EXP,Opex,0,2199
EXP,Opex,2200,2249
EXP,Opex,2250,2269
EXP,Opex,2270,2279
EXP,Capex,2280,2281
EXP,Opex,2282,2399
EXP,Interest,2400,2599
EXP,Opex,2600,2619
EXP,Opex,2620,2699
EXP,Opex,2700,2799
EXP,Opex,2800,2999
EXP,Capex,3000,3199
EXP,Capex,3200,3219
EXP,Capex,3220,8999
EXP,Opex,9000,9999
INC,Tax,0,19999999
INC,Non-tax,20000000,21010499
INC,Capital revenues,21010500,21010599
INC,Non-tax,21010600,21010699
INC,Capital revenues,21010700,21011199
INC,Non-tax,21011200,21049999
INC,Capital revenues,21050000,21050001
INC,Non-tax,21050002,24109999
INC,Capital revenues,24110000,24119999
INC,Non-tax,24120000,29999999
INC,Capital revenues,30000000,39999999
INC,Transfers,40000000,41999999
INC,Capital revenues,42000000,42999999
INC,Transfers,43000000,49999999
INC,Non-tax,50000000,59999999
